epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.979006,0.291667,1.79,0.323974,0.001,18.0306
2,1.620239,0.429167,1.47029,0.466523,0.001,14.969
3,1.378302,0.540833,1.284554,0.585313,0.001,1.8639
4,1.156594,0.645833,1.181239,0.589633,0.001,1.6725
5,0.979032,0.693333,1.360308,0.539957,0.001,1.6726
6,0.851557,0.755,1.31853,0.559395,0.001,1.6255
7,0.771681,0.79,1.241,0.591793,0.0005,1.6132
8,0.631748,0.838333,1.057042,0.647948,0.0005,1.5989
9,0.511514,0.870833,1.054537,0.617711,0.0005,1.6432
10,0.460682,0.879167,1.083917,0.61987,0.0005,1.6061
11,0.428856,0.895833,1.169332,0.583153,0.0005,1.594
12,0.432767,0.8775,1.136771,0.602592,0.00025,1.5923
