epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.920197,0.326667,1.679291,0.401728,0.001,2.4228
2,1.58867,0.4475,1.380255,0.539957,0.001,1.877
3,1.365034,0.548333,1.351991,0.477322,0.001,2.0647
4,1.213351,0.615833,1.291959,0.544276,0.001,1.811
5,1.054084,0.68,1.29293,0.563715,0.001,1.9228
6,0.960224,0.7025,1.286018,0.568035,0.001,2.2267
7,0.867959,0.739167,1.131011,0.602592,0.001,2.2364
8,0.730764,0.785833,1.274624,0.555076,0.001,1.9275
9,0.67491,0.814167,1.191013,0.602592,0.001,1.6854
10,0.606763,0.8275,1.487218,0.576674,0.0005,1.7228
11,0.524053,0.8575,1.15708,0.615551,0.0005,1.7626
