epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.996083,0.284167,1.874253,0.280778,0.001,1.8438
2,1.573141,0.509167,1.613255,0.440605,0.001,1.5572
3,1.208244,0.646667,1.448618,0.49676,0.001,1.5523
4,0.950307,0.740833,1.666541,0.509719,0.001,1.5091
5,0.707452,0.825,1.509518,0.5054,0.001,1.4624
6,0.522468,0.894167,1.509141,0.49892,0.0005,1.4687
7,0.373951,0.944167,1.316717,0.602592,0.0005,1.5246
8,0.304224,0.9575,1.338168,0.552916,0.0005,1.4697
9,0.23329,0.973333,1.343684,0.568035,0.0005,1.56
10,0.208492,0.978333,1.394714,0.578834,0.00025,1.6286
11,0.171157,0.986667,1.333454,0.589633,0.00025,1.6385
