epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.967588,0.295,1.8409,0.317495,0.001,1.5057
2,1.47813,0.558333,1.592264,0.470842,0.001,1.4224
3,1.068594,0.723333,1.664747,0.412527,0.001,1.4717
4,0.739067,0.846667,1.568885,0.464363,0.001,1.4937
5,0.473325,0.935,1.755738,0.403888,0.001,1.4858
6,0.313625,0.971667,1.869674,0.410367,0.001,1.485
7,0.195431,0.986667,1.853711,0.507559,0.0005,1.5902
8,0.124254,0.998333,1.520812,0.559395,0.0005,1.5949
9,0.084912,1.0,1.414773,0.565875,0.0005,1.4615
10,0.073044,0.998333,1.379975,0.596112,0.0005,1.4372
11,0.065373,0.998333,1.551736,0.546436,0.0005,1.4885
12,0.051225,1.0,1.371261,0.596112,0.0005,1.4448
