epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.959698,0.301667,1.863935,0.295896,0.0005,16.9899
2,1.690834,0.426667,1.835535,0.347732,0.0005,18.3981
3,1.616908,0.4575,1.584139,0.438445,0.0005,17.9611
4,1.478608,0.504167,1.535412,0.460043,0.0005,18.0248
5,1.450679,0.525833,1.608277,0.419006,0.0005,17.9519
6,1.395382,0.5425,1.597207,0.444924,0.0005,18.0959
7,1.3763,0.555833,1.525298,0.477322,0.0005,17.944
8,1.313061,0.585833,1.541403,0.507559,0.0005,18.0171
9,1.283926,0.570833,1.523255,0.535637,0.0005,17.9294
10,1.236988,0.6025,1.618472,0.421166,0.0005,17.6821
11,1.230897,0.586667,1.65494,0.50108,0.0005,17.8186
12,1.204694,0.623333,1.501567,0.50324,0.0005,18.1517
13,1.198829,0.611667,1.374935,0.609071,0.0005,17.9902
14,1.165013,0.621667,1.443587,0.546436,0.0005,17.4676
15,1.163389,0.630833,1.485201,0.576674,0.0005,17.7385
